Reference Company,Security Description,Trade Date,Ask,Bid,Close
AUDSWO=R,Australian Dollar/US Dollar Spot Week ATM Option,11/30/20,10,9,9.5
AUDSWO=R,Australian Dollar/US Dollar Spot Week ATM Option,12/1/20,9.35,8.35,8.85
AUDSWO=R,Australian Dollar/US Dollar Spot Week ATM Option,12/2/20,9.725,8.725,9.225
AUDSWO=R,Australian Dollar/US Dollar Spot Week ATM Option,12/3/20,9.925,8.975,9.45
AUDSWO=R,Australian Dollar/US Dollar Spot Week ATM Option,12/4/20,9.7,8.75,9.225
AUDSWO=R,Australian Dollar/US Dollar Spot Week ATM Option,12/7/20,10,9,9.5
AUDSWO=R,Australian Dollar/US Dollar Spot Week ATM Option,12/8/20,9.55,8.75,9.15
AUDSWO=R,Australian Dollar/US Dollar Spot Week ATM Option,12/9/20,9.95,8.95,9.45
AUDSWO=R,Australian Dollar/US Dollar Spot Week ATM Option,12/10/20,11,10.05,10.525
AUDSWO=R,Australian Dollar/US Dollar Spot Week ATM Option,12/11/20,11.85,10.85,11.35
AUDSWO=R,Australian Dollar/US Dollar Spot Week ATM Option,12/14/20,10.775,9.775,10.275
AUDSWO=R,Australian Dollar/US Dollar Spot Week ATM Option,12/15/20,10.8,9.8,10.3
AUDSWO=R,Australian Dollar/US Dollar Spot Week ATM Option,12/16/20,9.663,8.663,9.163
AUDSWO=R,Australian Dollar/US Dollar Spot Week ATM Option,12/17/20,9.825,8.825,9.325
AUDSWO=R,Australian Dollar/US Dollar Spot Week ATM Option,12/18/20,9.212,8.212,8.712
AUDSWO=R,Australian Dollar/US Dollar Spot Week ATM Option,12/21/20,9.85,8.8,9.325
AUDSWO=R,Australian Dollar/US Dollar Spot Week ATM Option,12/22/20,9.7,8.25,8.975
AUDSWO=R,Australian Dollar/US Dollar Spot Week ATM Option,12/23/20,8.875,7.875,8.375
AUDSWO=R,Australian Dollar/US Dollar Spot Week ATM Option,12/24/20,8.575,7.575,8.075
AUDSWO=R,Australian Dollar/US Dollar Spot Week ATM Option,12/25/20,8.512,7.162,7.837
AUDSWO=R,Australian Dollar/US Dollar Spot Week ATM Option,12/28/20,8.783,7.483,8.133
AUDSWO=R,Australian Dollar/US Dollar Spot Week ATM Option,12/29/20,9.65,8.35,9
AUDSWO=R,Australian Dollar/US Dollar Spot Week ATM Option,12/30/20,11.7,10.35,11.025
AUD1MO=R,Australian Dollar/US Dollar 1 Month ATM Option,11/30/20,9.5,9.1,9.3
AUD1MO=R,Australian Dollar/US Dollar 1 Month ATM Option,12/1/20,9.313,8.913,9.113
AUD1MO=R,Australian Dollar/US Dollar 1 Month ATM Option,12/2/20,9.325,8.925,9.125
AUD1MO=R,Australian Dollar/US Dollar 1 Month ATM Option,12/3/20,9.175,8.775,8.975
AUD1MO=R,Australian Dollar/US Dollar 1 Month ATM Option,12/4/20,9.3,8.9,9.1
AUD1MO=R,Australian Dollar/US Dollar 1 Month ATM Option,12/7/20,9.75,9.35,9.55
AUD1MO=R,Australian Dollar/US Dollar 1 Month ATM Option,12/8/20,9.563,9.163,9.363
AUD1MO=R,Australian Dollar/US Dollar 1 Month ATM Option,12/9/20,9.5,9.15,9.325
AUD1MO=R,Australian Dollar/US Dollar 1 Month ATM Option,12/10/20,9.455,9.105,9.28
AUD1MO=R,Australian Dollar/US Dollar 1 Month ATM Option,12/11/20,10.025,9.675,9.85
AUD1MO=R,Australian Dollar/US Dollar 1 Month ATM Option,12/14/20,9.975,9.525,9.75
AUD1MO=R,Australian Dollar/US Dollar 1 Month ATM Option,12/15/20,9.95,9.55,9.75
AUD1MO=R,Australian Dollar/US Dollar 1 Month ATM Option,12/16/20,9.585,9.185,9.385
AUD1MO=R,Australian Dollar/US Dollar 1 Month ATM Option,12/17/20,9.4,9,9.2
